kdl_id,slug,title,author,year_display,year_sort,variety,language_code,script,subject,format,availability,source_institution,source_url,rights_type,rights_note_en,source_rights_checked,catalogue_added,archive_eligible,planned_local_path,description_en
KDL-KMR-0001,soane-grammar-1913,Grammar of the Kurmanji or Kurdish Language,E. B. Soane,1913,1913,Kurmancî,kmr,latin,reference,pdf,full,Internet Archive / Rosetta Project,https://archive.org/details/rosettaproject_kmr_multiple-1,regional,The source identifies this pre-1931 scan as public domain in the United States. Copyright status can differ by jurisdiction.,2026-09-18,2026-09-18,False,books/soane-grammar-1913/book.pdf,"An early reference grammar of Kurmanji, digitized by the Rosetta Project and preserved by the Internet Archive."
KDL-KMR-0002,mem-u-zin,Mem û Zîn,Ehmedê Xanî,1692,1692,Kurmancî,kmr,latin,poetry,wiki,partial,Wikisource,https://wikisource.org/wiki/Mem_%C3%BB_Z%C3%AEn,pd,The historical work is public domain; Wikisource text is available under CC BY-SA.,2026-09-18,2026-09-18,True,books/mem-u-zin/content.html,Ehmedê Xanî’s foundational classical Kurdish romance. The current Wikisource record provides its substantial opening section rather than a complete edition.
KDL-KMR-0003,diwana-ehmede-xani,دیوانی ئەحمەدی خانی,Ehmedê Xanî,1707,1707,Kurmancî,kmr,arabic,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/%D8%AF%DB%8C%D9%88%D8%A7%D9%86%DB%8C_%D8%A6%DB%95%D8%AD%D9%85%DB%95%D8%AF%DB%8C_%D8%AE%D8%A7%D9%86%DB%8C,pd,The historical work is public domain; Wikisource text is available under CC BY-SA.,2026-09-18,2026-09-18,True,books/diwana-ehmede-xani/content.html,A navigable collection of Ehmedê Xanî’s poetry preserved on Wikisource in Kurdish Arabic script.
KDL-CKB-0001,diwani-fayiq-bekes,دیوانی فایق بێکەس,Fayiq Bêkes,1948,1948,Soranî,ckb,arabic,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/%D8%AF%DB%8C%D9%88%D8%A7%D9%86%DB%8C_%D9%81%D8%A7%DB%8C%D9%82_%D8%A8%DB%8E%DA%A9%DB%95%D8%B3,regional,Wikisource labels this work as public domain in Iraq. Reuse elsewhere may depend on local law.,2026-09-18,2026-09-18,False,books/diwani-fayiq-bekes/content.html,A Sorani poetry collection arranged into thematic sections on Wikisource.
KDL-CKB-0002,practical-kurdish-grammar,A Practical Kurdish Grammar,L. O. Fossum,1919,1919,Soranî / Central Kurdish,ckb,mixed,reference,pdf,full,Kurdish Institute of Paris Digital Library,https://bnk.institutkurde.org/images/pdf/BXQSR9A3D7.pdf,regional,The source identifies this pre-1931 scan as public domain in the United States. Copyright status can differ by jurisdiction.,2026-09-18,2026-09-18,False,books/practical-kurdish-grammar/book.pdf,"A 280-page historical grammar with pronunciation, exercises, short texts, syntax and vocabulary focused on Central Kurdish dialects."
KDL-CKB-0003,elementary-kurmanji-grammar,Elementary Kurmanji Grammar,E. B. Soane,1919,1919,Soranî / Central Kurdish,ckb,mixed,reference,pdf,full,Kurdish Institute of Paris Digital Library,https://bnk.institutkurde.org/images/pdf/LZ68BVJ32M.pdf,regional,The source identifies this pre-1931 scan as public domain in the United States. Copyright status can differ by jurisdiction.,2026-09-18,2026-09-18,False,books/elementary-kurmanji-grammar/book.pdf,"Despite the historical title “Kurmanji,” this grammar describes the Kurdish of Sulaimaniyah and is catalogued here as Central Kurdish."
KDL-KMR-0004,rezana-elfabeya-qurdi,Rêzana elfabêya qurdî,Celadet Alî Bedir-Xan,1932,1932,Kurmancî,kmr,latin,reference,pdf,full,Kurdish Institute of Paris Digital Library,https://bnk.institutkurde.org/images/pdf/JSE3P1NGHY.pdf,check,This 1932 historical scan is provided for reading and research. Reuse status may vary by jurisdiction and is not treated as universally public domain.,2026-09-18,2026-09-18,False,books/rezana-elfabeya-qurdi/book.pdf,A short historical guide to the Latin-based Kurdish alphabet from the Hawar publishing tradition.
KDL-KMR-0005,rupelinen-elfabe,Rûpelinên Elfabê,Celadet Alî Bedir-Xan,1932,1932,Kurmancî,kmr,latin,education,pdf,full,Kurdish Institute of Paris Digital Library,https://bnk.institutkurde.org/images/pdf/72A9XUKYVC.pdf,check,This 1932 historical scan is provided for reading and research. Reuse status may vary by jurisdiction and is not treated as universally public domain.,2026-09-18,2026-09-18,False,books/rupelinen-elfabe/book.pdf,A short illustrated alphabet reader connected with the development of the modern Latin Kurdish alphabet.
KDL-KMR-0006,diwana-melaye-ciziri,دیوانا مەلایێ جزیری,Melayê Cizîrî,c. 1630,1630,Kurmancî,kmr,arabic,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/%D8%AF%DB%8C%D9%88%D8%A7%D9%86%D8%A7_%D9%85%DB%95%D9%84%D8%A7%DB%8C%DB%8E_%D8%AC%D8%B2%DB%8C%D8%B1%DB%8C,pd,The historical work is public domain; Wikisource text is available under CC BY-SA.,2026-09-18,2026-09-18,True,books/diwana-melaye-ciziri/content.html,"The classical divan of Melayê Cizîrî, arranged into navigable sections and openly readable on Wikisource."
KDL-CKB-0004,diwani-mahwi,دیوانی مەحوی,Mahwî,1896,1896,Soranî,ckb,arabic,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/%D8%AF%DB%8C%D9%88%D8%A7%D9%86%DB%8C_%D9%85%DB%95%D8%AD%D9%88%DB%8C,pd,The historical work is public domain; Wikisource text is available under CC BY-SA.,2026-09-18,2026-09-18,True,books/diwani-mahwi/content.html,A large classical Sorani divan organized by letter and form on Wikisource.
